info_kind,what,how
pack_qty,pack,(?<=外包数：)\d+\.\d+
pack_qty,parc,(?<=总件数：)\d+\b
pack_qty,u_parc,(?<=\d\.\d\d/)\d+\b
pack_qty,u_parc,(?<=\d\d\.\d\d/)\d+\b
pack_qty,u_parc,(?<=\d\\d\d.\d\d/)\d+\b
pack_qty,u_parc,(?<=\d\\d\d/)\d+\b
logo,brandk,Konfort\+s\*牌
logo,brandd,DETOPLUS\s*牌
logo,branddp,DETO\s*牌
spec_unit,kg,\d*\.*\d+(?=\s*[(kg)|(KG)])
spec_unit,mm,\d*\.*\d+\s*mm
spec,v_Hz,(?<=额定电压/频率：).+(?=\n)
spec,r_power,(?<=额定功率：).+(?=\n)
spec,l_flux,(?<=光通量：).+(?=\n)
spec,c_tmp,(?<=色温：).+(?=\n)
spec,c_idx,(?<=显色指数：).+(?=\n)
spec,b_ang,(?<=光束角：).+(?=\n)
spec,p_size,(?<=产品尺寸：).+(?=\n):
spec,prot_lev,(?<=防护等级：).+(?=\n)
spec,serv_lif,(?<=使用寿命：).+(?=\n)
spec,q_ass,.+(?=品质保证\n)
spec,material1,\w*(?=材料)
spec,material1,\w*钢
spec,material2,表*面*镀*白*锌
spec,material2,发黑
spec,material2,本色
spec,nut_grade,\d+\.*\d*(?=级)
spec,nut_norm,\w*(?=螺母)
spec,nut_spec,全丝
pack_spec,plstc_bg,\d+(?=个/牢固透明塑料袋)
pack_spec,plstc_bg,\d+(?=PCS/透明牢固尼龙袋)
pack_spec,bg_pr_crgtd_bx,\d+(?=袋/瓦楞盒)
pack_spec,bg_pr_o_bx,\d+(?=盒/外*箱)
spec,clr_zh,黑胡桃
spec,clr_zh,黑色
spec,clr_zh,白色
spec,gm_zh,亚光
spec,gm_zh,亮光
spec,io_zh,内开(?=门)
spec,io_zh,外开(?=门)
spec,lr_zh,右开
spec,lr_zh,左开
spec,spec_zh,单门
spec,spec_zh,子母防盗门
spec,spec_zh,对开防盗门
